settlement_id,payment_ref,settled_amount,settlement_date,bank_code
STL-BB53DBB3,PAY-5714E514,6010.89,2026-03-14 22:26:15,ICICI_CORP
STL-9326F036,PAY-29060B55,5573.51,2026-03-28 05:41:54,HDFC_01
STL-83ED7654,PAY-0D0DF6FE,5137.91,2026-03-13 00:11:28,ICICI_CORP
STL-9E1E1B79,PAY-BB5F4942,32669.28,2026-03-27 05:16:44,AXIS_BULK
STL-272F9999,PAY-3CA3D6CE,14270.44,2026-03-03 17:06:31,SBI_SETTL
STL-03ED3212,PAY-B5458181,8196.24,2026-03-17 17:40:02,AXIS_BULK
STL-C0EE96FE,PAY-B0EDBEE0,18269.48,2026-03-18 01:43:25,AXIS_BULK
STL-BEC6F773,PAY-9F65EF57,6678.9,2026-03-20 15:27:50,SBI_SETTL
STL-0E33CC73,PAY-17D7D061,10018.29,2026-03-05 13:58:33,SBI_SETTL
STL-627B41C7,PAY-165F129B,42838.23,2026-03-08 00:22:24,AXIS_BULK
STL-0777CA66,PAY-89BDDF08,41788.47,2026-03-10 19:42:19,ICICI_CORP
STL-E12B255D,PAY-1BC7F039,13715.4,2026-03-31 21:49:46,ICICI_CORP
STL-F807B4F1,PAY-8B0CA7FD,23381.88,2026-03-14 16:55:55,SBI_SETTL
STL-6B6B49F3,PAY-F468A150,38912.0,2026-03-13 20:10:26,AXIS_BULK
STL-7E3ACB95,PAY-109DF2C9,3776.34,2026-03-28 05:32:51,AXIS_BULK
STL-E10B9D71,PAY-EC8CB4AF,44291.82,2026-03-31 16:13:04,SBI_SETTL
STL-A19F1E22,PAY-A4C5200D,12708.06,2026-03-28 23:13:45,AXIS_BULK
STL-FF69462C,PAY-E15C680D,20270.33,2026-03-13 09:34:20,HDFC_01
STL-65E4F330,PAY-1C7A2CA6,2832.26,2026-03-07 09:46:28,AXIS_BULK
STL-6D71891C,PAY-C51B6682,3644.62,2026-03-20 18:53:09,HDFC_01
STL-529F6269,PAY-01B857B7,36175.73,2026-03-27 20:32:26,HDFC_01
STL-88FBF087,PAY-251E997D,22020.88,2026-03-24 01:35:11,ICICI_CORP
STL-0FC9C9DD,PAY-5E53A681,45675.08,2026-03-30 21:01:42,ICICI_CORP
STL-A543FD1E,PAY-2EAEDF58,38244.28,2026-03-26 23:12:41,SBI_SETTL
STL-CC1C96E2,PAY-E9DE8AAC,1464.1,2026-03-18 22:30:47,HDFC_01
STL-9691BC4E,PAY-A20A4AB3,43961.48,2026-03-07 00:01:53,HDFC_01
STL-3DDC793F,PAY-0F45BDD8,26868.96,2026-03-09 03:22:15,ICICI_CORP
STL-9A5D0750,PAY-C18E514F,26619.85,2026-03-30 00:36:46,ICICI_CORP
STL-595812A3,PAY-31715EEA,15929.96,2026-04-01 23:53:21,AXIS_BULK
STL-C208EA19,PAY-DA8473E4,12771.33,2026-03-05 07:59:03,ICICI_CORP
STL-937061FF,PAY-325334F4,11400.76,2026-03-05 15:32:40,HDFC_01
STL-608A2C58,PAY-F6F3570C,43051.95,2026-03-05 15:27:33,SBI_SETTL
STL-B68B4C4E,PAY-DA8A59B8,24528.02,2026-03-27 23:00:17,ICICI_CORP
STL-68683CC1,PAY-0CD8ADD9,40471.1,2026-03-11 01:58:58,AXIS_BULK
STL-45B87894,PAY-619635B9,21467.14,2026-03-23 16:06:37,HDFC_01
STL-8496B0F8,PAY-D9871521,36546.57,2026-03-07 09:23:17,ICICI_CORP
STL-F5817D11,PAY-F260259C,22706.37,2026-03-22 14:49:43,AXIS_BULK
STL-77F451E8,PAY-E535B901,43787.05,2026-03-05 20:23:56,HDFC_01
STL-1F2060F6,PAY-84850D43,49964.48,2026-03-03 02:07:57,ICICI_CORP
STL-BA30BEF2,PAY-D9909065,24539.24,2026-03-12 03:31:35,ICICI_CORP
STL-529EEF46,PAY-D3F8C32E,606.69,2026-03-21 04:28:25,SBI_SETTL
STL-E4A275F9,PAY-636F0278,34981.28,2026-03-27 17:06:19,ICICI_CORP
STL-6DCA749C,PAY-4EFDD574,11276.19,2026-03-05 01:56:47,SBI_SETTL
STL-4C63381E,PAY-F4BFA409,2982.05,2026-03-24 02:50:27,HDFC_01
STL-CFD552D0,PAY-F84E7CA7,4465.52,2026-03-10 20:58:45,ICICI_CORP
STL-91FA95F3,PAY-0997E38D,6434.39,2026-03-28 08:16:16,HDFC_01
STL-CFB800F1,PAY-12CEBA7A,33039.97,2026-03-29 03:26:37,SBI_SETTL
STL-BD0C85DC,PAY-E7E65A51,33651.44,2026-03-17 17:12:12,AXIS_BULK
STL-243ED49A,PAY-D8587900,33748.67,2026-03-17 01:44:04,HDFC_01
STL-E155E6DF,PAY-59F6B925,23185.13,2026-03-28 00:57:01,ICICI_CORP
STL-B1B2AEEC,PAY-B815B6A8,13627.42,2026-03-18 07:12:45,SBI_SETTL
STL-1AAAAA98,PAY-5BD15EE7,8308.47,2026-03-27 03:22:44,SBI_SETTL
STL-86D7AA8E,PAY-8B13DE94,5627.53,2026-03-08 12:42:25,HDFC_01
STL-455C9A35,PAY-366D77A4,27884.57,2026-03-14 19:30:34,SBI_SETTL
STL-538FF58A,PAY-F8B01095,34531.11,2026-03-15 10:24:28,SBI_SETTL
STL-B955347C,PAY-5AFB6D31,5068.77,2026-03-21 16:41:31,HDFC_01
STL-0542394E,PAY-87F6EF64,38670.4,2026-03-31 09:55:24,AXIS_BULK
STL-B15F50E5,PAY-6A73DB28,35430.54,2026-03-27 22:39:14,HDFC_01
STL-E3AD5EAC,PAY-50712FBB,45244.46,2026-03-28 05:55:28,ICICI_CORP
STL-F2E96776,PAY-CD07C3D2,6808.55,2026-03-16 10:45:16,SBI_SETTL
STL-037D0E83,PAY-292335F7,34262.3,2026-03-08 02:19:11,ICICI_CORP
STL-3CF27781,PAY-CC2D1563,43297.98,2026-03-10 11:26:41,ICICI_CORP
STL-FEE45179,PAY-6C7A1361,46262.12,2026-03-22 03:44:17,ICICI_CORP
STL-79B4769A,PAY-6AEB04BC,5850.73,2026-03-04 04:21:10,ICICI_CORP
STL-7207AE8D,PAY-ACE96F72,17808.09,2026-03-12 18:37:04,ICICI_CORP
STL-007A148E,PAY-C2FDA9B4,16748.97,2026-03-06 13:51:32,AXIS_BULK
STL-FE4D4B92,PAY-6FCCA376,49066.91,2026-03-26 19:43:59,HDFC_01
STL-EC8C8C45,PAY-6B089C2D,9339.11,2026-03-14 11:57:29,AXIS_BULK
STL-E68AEEE0,PAY-4267A58B,36562.98,2026-03-16 16:40:53,AXIS_BULK
STL-EEBB1B1D,PAY-F6A851C8,9908.9,2026-03-04 10:31:53,ICICI_CORP
STL-3AF53ED6,PAY-5A046825,21849.22,2026-03-17 10:41:50,SBI_SETTL
STL-E6A7DA00,PAY-7834D0B5,15809.59,2026-03-22 00:06:57,SBI_SETTL
STL-BDB744A3,PAY-D614E164,6800.75,2026-03-21 13:17:24,SBI_SETTL
STL-8F6C4E6A,PAY-F6782A92,27622.89,2026-03-03 10:28:45,ICICI_CORP
STL-EAC09269,PAY-6F3E2B78,39395.06,2026-03-31 00:40:54,AXIS_BULK
STL-5C3C846B,PAY-D1A71003,33943.55,2026-03-25 16:24:12,HDFC_01
STL-BACD9DE4,PAY-030DF78E,26014.87,2026-03-31 05:23:01,ICICI_CORP
STL-C98F6C29,PAY-A5F909F5,15865.76,2026-03-11 11:31:25,HDFC_01
STL-29F9CFB3,PAY-6D5570EB,49204.83,2026-03-31 05:40:47,AXIS_BULK
STL-DBB27C4A,PAY-9E262BE2,28995.71,2026-03-20 21:28:23,ICICI_CORP
STL-273E5B45,PAY-D284E6C6,32974.87,2026-03-03 16:04:04,ICICI_CORP
STL-9E843A4F,PAY-FFACB49E,40303.44,2026-03-25 23:48:07,ICICI_CORP
STL-AA77F134,PAY-07C4ECE8,23094.86,2026-03-24 13:34:41,AXIS_BULK
STL-97EA234C,PAY-4A5F58F0,40842.82,2026-03-26 09:24:48,ICICI_CORP
STL-5ABF8D45,PAY-152C4DB1,43144.0,2026-03-22 21:37:22,SBI_SETTL
STL-7A37DE64,PAY-6A0D708E,38994.9,2026-03-25 11:20:12,AXIS_BULK
STL-16B90578,PAY-79CC81CB,35820.47,2026-03-14 02:09:29,SBI_SETTL
STL-6ACB1CE5,PAY-E03B67EE,4488.59,2026-03-10 06:46:08,ICICI_CORP
STL-F0FB8E2A,PAY-F69CE538,11090.67,2026-03-22 07:11:38,AXIS_BULK
STL-BE702D60,PAY-60353D04,3582.15,2026-03-21 12:57:29,AXIS_BULK
STL-6E870B63,PAY-49262DAD,791.86,2026-03-19 10:14:42,AXIS_BULK
STL-638DA8EE,PAY-BC257525,37502.03,2026-03-28 06:33:02,ICICI_CORP
STL-35B5DB92,PAY-C6DCE39D,22073.88,2026-03-04 17:45:29,AXIS_BULK
STL-67DCA632,PAY-0CF00BFC,8669.71,2026-03-23 16:31:15,AXIS_BULK
STL-31808A59,PAY-9A3341E4,28437.4,2026-03-04 15:36:52,ICICI_CORP
STL-2561B1F7,PAY-55D349BB,9495.59,2026-03-15 06:12:24,ICICI_CORP
STL-F2CE0B50,PAY-031276D4,16678.87,2026-03-20 16:08:32,SBI_SETTL
STL-CB223D7C,PAY-D78CF849,23780.19,2026-03-27 23:11:36,ICICI_CORP
STL-AF3707C3,PAY-4198BD28,3896.61,2026-04-01 01:53:30,ICICI_CORP
STL-6D637DA7,PAY-39A8A601,42041.83,2026-03-30 16:40:28,ICICI_CORP
STL-3802FDD9,PAY-830DE595,33638.21,2026-03-29 02:02:01,SBI_SETTL
STL-18877B5F,PAY-2C7142E9,18760.31,2026-03-29 23:48:08,SBI_SETTL
STL-B7D2CB38,PAY-4FB063EA,29144.89,2026-03-17 14:47:22,ICICI_CORP
STL-B7697CCB,PAY-1316818D,29808.84,2026-03-30 23:08:14,SBI_SETTL
STL-2372CFE0,PAY-8BD289FF,30220.37,2026-03-07 22:17:59,SBI_SETTL
STL-3AD47F84,PAY-024136B5,21704.71,2026-03-20 06:45:45,HDFC_01
STL-B639EF34,PAY-A535B514,41205.38,2026-03-08 05:19:51,AXIS_BULK
STL-2F8D3934,PAY-8F5D932F,8073.06,2026-03-11 10:27:37,AXIS_BULK
STL-8EEE42B6,PAY-E540B874,22060.94,2026-03-30 09:10:27,ICICI_CORP
STL-B47CE3D8,PAY-3B5C3E85,14306.95,2026-03-23 22:25:14,AXIS_BULK
STL-8D5FBB50,PAY-ECAA75F2,1920.65,2026-03-18 05:01:43,ICICI_CORP
STL-8474BB6F,PAY-B5FA905F,39992.7,2026-03-18 21:46:33,HDFC_01
STL-D72D76DE,PAY-F43080B2,47429.1,2026-03-07 07:32:13,AXIS_BULK
STL-4817651D,PAY-DD4001A1,38029.15,2026-03-25 02:05:21,HDFC_01
STL-EFCD3B37,PAY-1495FCCA,15064.66,2026-03-21 19:44:14,SBI_SETTL
STL-FEB3C863,PAY-441FC40E,27896.91,2026-03-19 01:31:47,SBI_SETTL
STL-46230EE1,PAY-1AFCDD75,22960.39,2026-03-16 08:56:18,HDFC_01
STL-60D26DC7,PAY-1719CCD9,10032.92,2026-03-07 20:39:44,ICICI_CORP
STL-CBC5FC89,PAY-48C21D6B,37060.93,2026-03-16 00:04:38,HDFC_01
STL-CC961ADD,PAY-B7F7BE2D,15164.2,2026-03-19 20:11:41,HDFC_01
STL-7BDD1D7B,PAY-D8770D4F,26939.69,2026-03-14 21:37:33,SBI_SETTL
STL-0A48B955,PAY-ED4F2335,47232.44,2026-03-31 10:47:21,HDFC_01
STL-00BE6E8B,PAY-55E970DA,14574.8,2026-03-25 04:56:55,ICICI_CORP
STL-AB6DE4F4,PAY-9CD65450,12997.68,2026-03-24 03:49:08,AXIS_BULK
STL-D1DCFA83,PAY-0CDDF46D,4167.07,2026-03-31 01:31:37,ICICI_CORP
STL-74F350DF,PAY-3FA00DC5,47481.72,2026-03-06 07:04:17,AXIS_BULK
STL-177F0FF3,PAY-2B797E31,30008.28,2026-03-31 13:30:05,AXIS_BULK
STL-6C9DBA10,PAY-DC731AC6,15218.98,2026-03-30 04:52:49,HDFC_01
STL-F87FD4E0,PAY-DA2B9B51,48025.38,2026-03-06 22:24:56,SBI_SETTL
STL-F6494FF8,PAY-C2B548E3,4518.78,2026-03-13 08:00:38,ICICI_CORP
STL-9056C87E,PAY-90E0EEF1,20721.62,2026-03-30 10:40:10,HDFC_01
STL-CFB265D8,PAY-F71E651F,14761.19,2026-03-15 06:52:02,ICICI_CORP
STL-05A57EC0,PAY-F26447FF,39497.49,2026-03-31 20:44:51,HDFC_01
STL-5F41CD50,PAY-D515E2F6,11628.07,2026-03-09 04:46:26,HDFC_01
STL-48E1DFF8,PAY-EAF27652,8713.18,2026-03-17 10:01:37,HDFC_01
STL-42890B16,PAY-816BB192,34589.56,2026-03-21 17:40:29,AXIS_BULK
STL-AEB44D94,PAY-4CD910D3,30102.81,2026-03-23 01:55:55,HDFC_01
STL-EA61C6D6,PAY-40D9A51E,11831.76,2026-03-29 14:16:20,HDFC_01
STL-B0C785F4,PAY-BC5F133C,37935.31,2026-03-24 19:58:35,SBI_SETTL
STL-208ED27E,PAY-F0098F02,49848.8,2026-03-22 06:10:21,AXIS_BULK
STL-354B6C1C,PAY-032060FC,20713.23,2026-03-17 00:41:03,SBI_SETTL
STL-FEA2B64E,PAY-2A4FF9CC,34836.85,2026-03-15 12:51:35,AXIS_BULK
STL-613562E7,PAY-11F9B150,16068.6,2026-03-18 03:07:09,HDFC_01
STL-F42591F7,PAY-D7CCA5D7,43533.69,2026-03-23 10:39:41,ICICI_CORP
STL-E4BC7F69,PAY-3DF99A4C,18408.08,2026-03-25 02:32:56,ICICI_CORP
STL-E31EA85A,PAY-A2381199,27686.37,2026-03-16 12:39:54,HDFC_01
STL-894F25E4,PAY-C6D22E9E,48670.77,2026-03-30 03:05:12,SBI_SETTL
STL-6DD42E53,PAY-80CC6DC0,1176.89,2026-03-20 23:38:57,HDFC_01
STL-E2AD9AB9,PAY-79FB2CF9,47379.51,2026-04-01 21:29:28,SBI_SETTL
STL-FA0F1948,PAY-DA89BC41,35417.88,2026-03-22 07:53:17,ICICI_CORP
STL-AB2E35F9,PAY-B6E5446B,27787.62,2026-03-19 20:59:47,HDFC_01
STL-0AADF5B5,PAY-C6C9C09C,38747.42,2026-03-22 07:16:04,HDFC_01
STL-9126A2DD,PAY-8AF39519,36439.52,2026-03-29 03:09:20,AXIS_BULK
STL-A027B118,PAY-ED50D65F,24474.9,2026-03-18 13:10:52,AXIS_BULK
STL-F4A72085,PAY-68F8DBD4,43545.28,2026-03-13 06:53:26,AXIS_BULK
STL-3EBBAA81,PAY-50B9F733,16249.73,2026-03-24 22:39:25,ICICI_CORP
STL-1F549549,PAY-86372DA9,48258.81,2026-03-09 03:57:27,HDFC_01
STL-C2AB3A6F,PAY-11FDFE15,5435.73,2026-03-23 05:05:17,AXIS_BULK
STL-67BF7518,PAY-A7C350D0,48512.86,2026-03-06 19:47:10,SBI_SETTL
STL-EE3F9F55,PAY-FECC6CD1,34788.88,2026-04-01 23:47:51,AXIS_BULK
STL-5DE28FD5,PAY-8ABEFFE1,31526.56,2026-03-24 15:02:47,HDFC_01
STL-DE4AC8CD,PAY-60668D1D,31742.47,2026-03-15 11:55:06,AXIS_BULK
STL-CB6F2208,PAY-954AA0ED,38138.3,2026-03-06 23:49:57,SBI_SETTL
STL-BB80FAF4,PAY-A8FDAAEB,2776.55,2026-03-05 23:19:40,SBI_SETTL
STL-59E3BFFB,PAY-DC7601A3,7705.7,2026-03-26 14:13:40,ICICI_CORP
STL-73B8CDBB,PAY-C893B308,4408.93,2026-03-20 19:52:13,ICICI_CORP
STL-B0D29867,PAY-D4ECAC83,23326.92,2026-03-14 23:28:05,HDFC_01
