order_id,customer_id,order_amount,order_date,status,ground_truth_label
ORD-1001,Customer_082,6010.89,2026-03-13 22:24:00,COMPLETED,EXACT_MATCH
ORD-1002,Customer_095,5573.51,2026-03-26 05:41:00,COMPLETED,EXACT_MATCH
ORD-1003,Customer_004,5137.91,2026-03-12 00:07:00,COMPLETED,EXACT_MATCH
ORD-1004,Customer_092,32669.28,2026-03-26 05:13:00,COMPLETED,EXACT_MATCH
ORD-1005,Customer_076,14270.44,2026-03-01 17:05:00,COMPLETED,EXACT_MATCH
ORD-1006,Customer_036,8196.24,2026-03-16 17:39:00,COMPLETED,EXACT_MATCH
ORD-1007,Customer_013,18269.48,2026-03-17 01:41:00,COMPLETED,EXACT_MATCH
ORD-1008,Customer_069,6678.9,2026-03-18 15:27:00,COMPLETED,EXACT_MATCH
ORD-1009,Customer_074,10018.29,2026-03-04 13:58:00,COMPLETED,EXACT_MATCH
ORD-1010,Customer_011,42838.23,2026-03-06 00:19:00,COMPLETED,EXACT_MATCH
ORD-1011,Customer_082,41788.47,2026-03-08 19:39:00,COMPLETED,EXACT_MATCH
ORD-1012,Customer_086,13715.4,2026-03-30 21:49:00,COMPLETED,EXACT_MATCH
ORD-1013,Customer_021,23381.88,2026-03-13 16:51:00,COMPLETED,EXACT_MATCH
ORD-1014,Customer_099,38912.0,2026-03-11 20:10:00,COMPLETED,EXACT_MATCH
ORD-1015,Customer_035,3776.34,2026-03-27 05:30:00,COMPLETED,EXACT_MATCH
ORD-1016,Customer_051,44291.82,2026-03-30 16:09:00,COMPLETED,EXACT_MATCH
ORD-1017,Customer_018,12708.06,2026-03-26 23:09:00,COMPLETED,EXACT_MATCH
ORD-1018,Customer_075,20270.33,2026-03-11 09:33:00,COMPLETED,EXACT_MATCH
ORD-1019,Customer_097,2832.26,2026-03-06 09:45:00,COMPLETED,EXACT_MATCH
ORD-1020,Customer_077,3644.62,2026-03-18 18:49:00,COMPLETED,EXACT_MATCH
